
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. main, 1042, 3593, 2679, 0, 0, 0, 259, 2, 10
.	. block_ram, 90, 443, 1507, 0, 0, 0, 256, 0, 0
.	. cpu, 632, 1856, 464, 0, 0, 0, 0, 0, 0
.	. registerFile, 58, 94, 0, 0, 0, 0, 3, 0, 0
.	. rom, 52, 1022, 612, 0, 0, 0, 0, 0, 0
.	. timebase, 130, 107, 64, 0, 0, 0, 0, 0, 0
.	. uart, 79, 68, 32, 0, 0, 0, 0, 0, 0
