Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work , Entity: cpu Architecture: behavioural,0h:00m:09s,0h:00m:00s,0h:00m:00s,0h:00m:08s,   321 MB,   131 MB,     6 MB,    37 MB,    88 MB
